entry_id,anomaly_type,detail
JE1084004,round_number_above_materiality,"Amount 10,000,000 exactly round"
JE1084005,round_number_above_materiality,"Amount 5,000,000 exactly round"
JE1084006,round_number_above_materiality,"Amount 7,500,000 exactly round"
JE1084007,round_number_above_materiality,"Amount 10,000,000 exactly round"
JE1084008,round_number_above_materiality,"Amount 10,000,000 exactly round"
JE1084009,round_number_above_materiality,"Amount 7,500,000 exactly round"
JE1084010,round_number_above_materiality,"Amount 2,500,000 exactly round"
JE1084011,round_number_above_materiality,"Amount 7,500,000 exactly round"
JE1084012,round_number_above_materiality,"Amount 10,000,000 exactly round"
JE1084013,round_number_above_materiality,"Amount 2,500,000 exactly round"
JE1084014,round_number_above_materiality,"Amount 7,500,000 exactly round"
JE1020256,sequence_gap,Entry ID absent from the ledger
JE1025976,sequence_gap,Entry ID absent from the ledger
JE1048843,sequence_gap,Entry ID absent from the ledger
JE1050411,sequence_gap,Entry ID absent from the ledger
JE1051574,sequence_gap,Entry ID absent from the ledger
JE1061168,sequence_gap,Entry ID absent from the ledger
JE1063270,sequence_gap,Entry ID absent from the ledger
JE1063366,sequence_gap,Entry ID absent from the ledger
JE1074758,sequence_gap,Entry ID absent from the ledger
